timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527418880006,104,37 /,200,OK,Thread Group 1-1,text,true,,7949,416,8,8,76,0,9
1527418880025,97,37 /,200,OK,Thread Group 1-2,text,true,,7949,416,9,9,69,0,1
1527418880042,98,37 /,200,OK,Thread Group 1-3,text,true,,7949,416,10,10,68,0,1
1527418880049,97,37 /,200,OK,Thread Group 1-4,text,true,,7949,416,10,10,69,0,1
1527418880113,38,38 /reserve.php,200,OK,Thread Group 1-1,text,true,,10627,602,11,11,37,0,0
1527418880069,106,37 /,200,OK,Thread Group 1-5,text,true,,7949,416,12,12,76,0,1
1527418880140,38,38 /reserve.php,200,OK,Thread Group 1-3,text,true,,10563,588,12,12,38,0,0
1527418880146,39,38 /reserve.php,200,OK,Thread Group 1-4,text,true,,10579,590,13,13,39,0,0
1527418880151,39,39 /purchase.php,200,OK,Thread Group 1-1,text,true,,9974,665,14,14,38,0,0
1527418880094,98,37 /,200,OK,Thread Group 1-7,text,true,,7949,416,14,14,69,0,1
1527418880105,97,37 /,200,OK,Thread Group 1-8,text,true,,7949,416,14,14,68,0,1
1527418880176,37,38 /reserve.php,200,OK,Thread Group 1-5,text,true,,10603,593,16,16,37,0,0
1527418880119,97,37 /,200,OK,Thread Group 1-9,text,true,,7949,416,16,16,68,0,1
1527418880178,42,39 /purchase.php,200,OK,Thread Group 1-3,text,true,,9968,659,16,16,39,0,0
1527418880186,41,39 /purchase.php,200,OK,Thread Group 1-4,text,true,,9968,659,17,17,38,0,0
1527418880193,38,38 /reserve.php,200,OK,Thread Group 1-7,text,true,,10587,591,17,17,38,0,0
1527418880136,97,37 /,200,OK,Thread Group 1-10,text,true,,7949,416,17,17,67,0,0
1527418880147,97,37 /,200,OK,Thread Group 1-11,text,true,,7949,416,18,18,68,0,1
1527418880203,42,38 /reserve.php,200,OK,Thread Group 1-8,text,true,,10563,588,18,18,41,0,0
1527418880217,38,38 /reserve.php,200,OK,Thread Group 1-9,text,true,,10579,590,18,18,37,0,0
1527418880214,43,39 /purchase.php,200,OK,Thread Group 1-5,text,true,,9971,661,18,18,42,0,0
1527418880162,97,37 /,200,OK,Thread Group 1-12,text,true,,7949,416,18,18,68,0,0
1527418880221,38,40 /confirmation.php,200,OK,Thread Group 1-3,text,true,,9004,713,18,18,38,0,0
1527418880232,40,39 /purchase.php,200,OK,Thread Group 1-7,text,true,,9966,657,20,20,40,0,0
1527418880233,48,38 /reserve.php,200,OK,Thread Group 1-10,text,true,,10604,593,20,20,48,0,0
1527418880245,38,38 /reserve.php,200,OK,Thread Group 1-11,text,true,,10627,602,20,20,38,0,0
1527418880186,97,37 /,200,OK,Thread Group 1-14,text,true,,7949,416,20,20,68,0,1
1527418880184,100,37 /,200,OK,Thread Group 1-13,text,true,,7949,416,20,20,70,0,1
1527418880245,46,39 /purchase.php,200,OK,Thread Group 1-8,text,true,,9969,659,21,21,45,0,0
1527418880257,40,40 /confirmation.php,200,OK,Thread Group 1-5,text,true,,9004,714,22,22,40,0,0
1527418880256,44,39 /purchase.php,200,OK,Thread Group 1-9,text,true,,9969,659,22,22,43,0,0
1527418880208,97,37 /,200,OK,Thread Group 1-15,text,true,,7949,416,22,22,68,0,1
1527418880272,39,40 /confirmation.php,200,OK,Thread Group 1-7,text,true,,9004,713,22,22,38,0,0
1527418880213,101,37 /,200,OK,Thread Group 1-16,text,true,,7949,416,23,23,72,0,1
1527418880284,39,38 /reserve.php,200,OK,Thread Group 1-13,text,true,,10563,588,24,24,39,0,0
1527418880229,98,37 /,200,OK,Thread Group 1-17,text,true,,7949,416,24,24,68,0,0
1527418880284,43,38 /reserve.php,200,OK,Thread Group 1-14,text,true,,10580,590,24,24,43,0,0
1527418880283,45,39 /purchase.php,200,OK,Thread Group 1-11,text,true,,9974,665,24,24,43,0,0
1527418880282,47,39 /purchase.php,200,OK,Thread Group 1-10,text,true,,9971,661,24,24,45,0,0
1527418880291,40,40 /confirmation.php,200,OK,Thread Group 1-8,text,true,,8985,713,24,24,39,0,0
1527418880300,39,40 /confirmation.php,200,OK,Thread Group 1-9,text,true,,9004,714,24,24,38,0,0
1527418880240,104,37 /,200,OK,Thread Group 1-18,text,true,,7950,416,25,25,75,0,1
1527418880305,39,38 /reserve.php,200,OK,Thread Group 1-15,text,true,,10585,593,25,25,39,0,0
1527418880314,40,38 /reserve.php,200,OK,Thread Group 1-16,text,true,,10627,602,26,26,40,0,0
1527418880262,97,37 /,200,OK,Thread Group 1-19,text,true,,7949,416,26,26,69,0,1
1527418880323,39,39 /purchase.php,200,OK,Thread Group 1-13,text,true,,9968,659,26,26,39,0,0
1527418880268,97,37 /,200,OK,Thread Group 1-20,text,true,,7949,416,27,27,68,0,2
1527418880327,39,38 /reserve.php,200,OK,Thread Group 1-17,text,true,,10587,591,27,27,39,0,0
