timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527421267426,161,37 /,200,OK,Thread Group 1-2,text,true,,7949,416,19,19,145,0,77
1527421267426,162,37 /,200,OK,Thread Group 1-4,text,true,,7949,416,19,19,146,0,78
1527421267458,130,37 /,200,OK,Thread Group 1-9,text,true,,7949,416,19,19,115,0,48
1527421267426,161,37 /,200,OK,Thread Group 1-1,text,true,,7949,416,19,19,145,0,77
1527421267484,104,37 /,200,OK,Thread Group 1-8,text,true,,7949,416,19,19,89,0,21
1527421267495,97,37 /,200,OK,Thread Group 1-12,text,true,,7949,416,19,19,77,0,9
1527421267431,156,37 /,200,OK,Thread Group 1-7,text,true,,7949,416,19,19,141,0,74
1527421267447,142,37 /,200,OK,Thread Group 1-5,text,true,,7949,416,19,19,126,0,58
1527421267426,162,37 /,200,OK,Thread Group 1-3,text,true,,7949,416,19,19,146,0,79
1527421267503,97,37 /,200,OK,Thread Group 1-13,text,true,,7949,416,21,21,70,0,1
1527421267512,97,37 /,200,OK,Thread Group 1-14,text,true,,7949,416,21,21,68,0,1
1527421267514,96,37 /,200,OK,Thread Group 1-11,text,true,,7949,416,21,21,67,0,1
1527421267526,96,37 /,200,OK,Thread Group 1-15,text,true,,7949,416,22,22,67,0,1
1527421267590,46,38 /reserve.php,200,OK,Thread Group 1-4,text,true,,10563,588,23,23,45,0,0
1527421267593,44,38 /reserve.php,200,OK,Thread Group 1-12,text,true,,10603,593,23,23,43,0,0
1527421267538,100,37 /,200,OK,Thread Group 1-16,text,true,,7949,416,23,23,69,0,1
1527421267594,44,38 /reserve.php,200,OK,Thread Group 1-7,text,true,,10627,602,23,23,44,0,0
1527421267592,47,38 /reserve.php,200,OK,Thread Group 1-2,text,true,,10587,591,23,23,47,0,0
1527421267596,44,38 /reserve.php,200,OK,Thread Group 1-5,text,true,,10587,591,23,23,40,0,0
1527421267591,51,38 /reserve.php,200,OK,Thread Group 1-9,text,true,,10563,588,24,24,51,0,0
1527421267597,45,38 /reserve.php,200,OK,Thread Group 1-3,text,true,,10603,593,24,24,45,0,0
1527421267591,52,38 /reserve.php,200,OK,Thread Group 1-1,text,true,,10627,602,24,24,52,0,0
1527421267592,52,38 /reserve.php,200,OK,Thread Group 1-8,text,true,,10580,590,24,24,52,0,0
1527421267601,44,38 /reserve.php,200,OK,Thread Group 1-13,text,true,,10627,602,24,24,44,0,0
